,envios,ventas,nivel
637,110,0,2
638,3409,1429,2
639,44,44,1
640,1122,418,1
641,1539,792,2
642,1341,550,2
643,748,264,1
644,506,176,2
645,484,176,1
646,198,66,2
647,2287,814,3
648,1561,748,2
649,2045,506,1
650,1385,484,3
651,462,88,2
652,1100,616,2
653,726,308,1
654,4684,1605,1
655,594,264,2
656,1253,440,2
657,946,264,2
658,4288,1517,3
659,1188,528,2
660,550,264,3
661,1034,418,1
662,1122,528,1
663,176,66,1
664,484,198,2
665,352,198,2
666,264,154,1
667,66,44,3
668,1539,418,2
669,4024,1210,1
670,374,154,2
671,198,154,1
672,1232,616,1
673,704,374,2
674,1671,792,3
675,1188,396,2
676,968,418,2
677,2353,1166,2
678,726,110,3
679,506,264,2
680,946,594,2
681,264,66,1
682,2265,616,1
683,704,352,3
684,3079,880,1
685,110,88,1
686,2529,1122,2
687,176,0,2
688,550,154,3
689,374,132,1
690,352,176,2
691,0,0,2
692,616,176,1
693,1253,594,1
694,0,0,2
695,1012,484,1
696,1188,396,1
697,330,198,2
698,88,44,3
699,1166,792,2
700,770,330,2
701,770,308,2
702,946,242,2
703,1979,1144,2
704,154,110,3
705,902,286,1
706,462,154,1
707,880,352,2
708,924,418,2
709,2485,902,1
710,1166,396,2
711,2001,924,1
712,418,132,3
713,418,154,2
714,660,418,2
715,242,176,3
716,1297,418,1
717,462,88,1
718,352,154,2
719,704,220,2
720,1913,726,2
721,176,110,2
722,748,198,1
723,88,66,3
724,286,88,1
725,1517,836,1
726,1847,748,2
727,440,44,3
728,0,0,2
729,484,198,1
730,396,132,2
731,154,44,1
732,132,22,3
733,418,176,2
734,1056,682,1
735,968,352,3
736,440,154,2
737,2727,1275,3
738,2771,572,3
739,660,198,2
740,110,66,2
741,528,242,1
742,616,308,1
743,110,22,2
744,638,264,2
745,902,506,2
746,704,242,1
747,682,220,3
748,374,154,1
749,484,154,3
750,528,352,2
751,1803,1078,3
752,1056,286,3
753,946,462,2
754,0,0,2
755,0,0,1
756,2023,748,1
757,2199,1034,2
758,198,44,1
759,726,220,1
760,352,132,2
761,418,286,3
762,528,198,2
763,2529,924,2
764,220,44,3
765,308,110,2
766,132,88,2
767,484,176,2
768,3431,1759,3
769,44,44,2
770,1561,484,2
771,528,176,3
772,66,44,1
773,462,110,1
774,12733,4178,1
775,0,0,1
776,352,154,1
777,484,220,2
778,748,242,1
779,858,352,2
780,132,110,1
781,726,176,2
782,1429,572,2
783,792,308,2
784,2661,1363,3
785,1319,572,1
786,176,88,3
787,572,220,2
788,2529,704,1
789,550,176,2
790,616,176,3
791,154,66,1
792,638,264,2
793,1891,836,1
794,726,198,3
795,0,0,1
796,1056,176,1
797,220,132,2
798,1517,726,2
799,352,110,2
800,440,198,2
801,2705,1210,1
802,528,176,2
803,3651,1781,1
804,1188,726,2
805,1319,572,2
806,748,330,1
807,726,110,1
808,726,308,2
809,1297,572,1
810,594,374,2
811,748,462,1
812,1100,352,1
813,814,176,1
814,550,198,2
815,308,198,1
816,1056,550,1
817,0,0,1
818,66,66,2
819,0,0,2
820,1495,506,2
821,286,66,3
822,990,286,1
823,2573,1253,1
824,110,44,1
825,792,374,1
826,660,396,2
827,814,132,3
828,484,176,2
829,3475,1297,2
830,1078,616,2
831,1056,396,3
832,704,264,2
833,1210,616,2
834,462,264,2
835,44,22,2
836,1473,484,3
837,0,0,3
838,1275,616,2
839,1232,550,1
840,3145,1451,2
841,1627,660,3
842,44,22,3
843,4970,1803,1
844,550,220,2
845,396,176,3
846,506,198,1
847,440,88,2
848,2243,990,1
849,858,330,1
850,0,0,3
851,2463,1495,2
852,880,330,2
853,3277,1188,1
854,1737,880,1
855,1781,902,1
856,1385,418,2
857,132,88,2
858,286,176,2
859,3013,1583,2
860,968,528,2
861,2683,924,1
862,990,418,2
863,902,418,1
864,330,110,2
865,1891,704,3
866,6333,2595,2
867,1517,704,1
868,836,352,3
869,220,66,3
870,902,440,1
871,902,352,1
872,264,132,2
873,4530,1253,3
874,638,352,2
875,2463,1012,1
876,176,88,2
877,550,176,1
878,220,110,2
879,902,440,3
880,1210,726,1
881,396,132,2
882,1188,308,1
883,1210,572,1
884,462,176,2
885,66,0,3
886,682,352,2
887,462,176,1
888,0,0,3
889,1913,792,2
890,1188,726,2
891,946,242,1
892,880,462,2
893,4794,2067,3
894,198,88,3
895,1210,462,1
896,968,418,1
897,704,352,2
898,748,176,2
899,704,220,3
900,902,242,2
901,1429,594,1
902,1715,550,1
903,506,198,1
904,264,110,3
905,462,264,1
906,1979,616,1
907,1473,616,2
908,1693,704,1
909,264,88,2
910,12623,5234,1
911,1188,308,2
912,1847,792,2
913,7499,3629,1
914,1034,594,1
915,880,198,2
916,308,110,1
917,2067,550,3
918,352,110,2
919,0,0,2
920,462,220,1
921,2771,1166,1
922,2771,1319,2
923,374,308,2
924,682,330,2
925,2067,726,3
926,880,374,2
927,924,396,2
928,220,88,1
929,2573,1539,2
930,638,220,2
931,2265,638,2
932,748,132,3
933,2947,1122,1
934,1144,550,3
935,1056,440,1
936,1759,902,2
937,374,132,2
938,1100,506,2
